Team Name,Year,Wins,Losses,OT Losses,Win %,Goal For (GF),Goal Against (GA),+ / -
New York Rangers,2009,38,33,11,4,222,218,4
Ottawa Senators,2009,44,32,6,-13,225,238,-13
Philadelphia Flyers,2009,41,35,6,11,236,225,11
Phoenix Coyotes,2009,50,25,7,23,225,202,23
Pittsburgh Penguins,2009,47,28,7,20,257,237,20
San Jose Sharks,2009,51,20,11,49,264,215,49
St. Louis Blues,2009,40,32,10,2,225,223,2
Tampa Bay Lightning,2009,34,36,12,-43,217,260,-43
Toronto Maple Leafs,2009,30,38,14,-53,214,267,-53
Vancouver Canucks,2009,49,28,5,50,272,222,50
Washington Capitals,2009,54,15,13,85,318,233,85
Anaheim Ducks,2010,47,30,5,4,239,235,4
Atlanta Thrashers,2010,34,36,12,-46,223,269,-46
Boston Bruins,2010,46,25,11,51,246,195,51
Buffalo Sabres,2010,43,29,10,16,245,229,16
Calgary Flames,2010,41,29,12,13,250,237,13
Carolina Hurricanes,2010,40,31,11,-3,236,239,-3
Columbus Blue Jackets,2010,34,35,13,-43,215,258,-43
Chicago Blackhawks,2010,44,29,9,33,258,225,33
Colorado Avalanche,2010,30,44,8,-61,227,288,-61
Dallas Stars,2010,42,29,11,-6,227,233,-6
Detroit Red Wings,2010,47,25,10,20,261,241,20
Edmonton Oilers,2010,25,45,12,-76,193,269,-76
Florida Panthers,2010,30,40,12,-34,195,229,-34
Los Angeles Kings,2010,46,30,6,21,219,198,21
Minnesota Wild,2010,39,35,8,-27,206,233,-27
Montreal Canadiens,2010,44,30,8,7,216,209,7
Nashville Predators,2010,44,27,11,25,219,194,25
New Jersey Devils,2010,38,39,5,-35,174,209,-35
New York Islanders,2010,30,39,13,-35,229,264,-35
New York Rangers,2010,44,33,5,35,233,198,35
Ottawa Senators,2010,32,40,10,-58,192,250,-58
Philadelphia Flyers,2010,47,23,12,36,259,223,36
Phoenix Coyotes,2010,43,26,13,5,231,226,5
Pittsburgh Penguins,2010,49,25,8,39,238,199,39
San Jose Sharks,2010,48,25,9,35,248,213,35
St. Louis Blues,2010,38,33,11,6,240,234,6
Tampa Bay Lightning,2010,46,25,11,7,247,240,7
Toronto Maple Leafs,2010,37,34,11,-33,218,251,-33
Vancouver Canucks,2010,54,19,9,77,262,185,77
Washington Capitals,2010,48,23,11,27,224,197,27
Anaheim Ducks,2011,34,36,12,-27,204,231,-27
Boston Bruins,2011,49,29,4,67,269,202,67
Buffalo Sabres,2011,39,32,11,-12,218,230,-12
Calgary Flames,2011,37,29,16,-24,202,226,-24
Carolina Hurricanes,2011,33,33,16,-30,213,243,-30
Columbus Blue Jackets,2011,29,46,7,-60,202,262,-60
Chicago Blackhawks,2011,45,26,11,10,248,238,10
Colorado Avalanche,2011,41,35,6,-12,208,220,-12
Dallas Stars,2011,42,35,5,-11,211,222,-11
Detroit Red Wings,2011,48,28,6,45,248,203,45
Edmonton Oilers,2011,32,40,10,-27,212,239,-27
Florida Panthers,2011,38,26,18,-24,203,227,-24
Los Angeles Kings,2011,40,27,15,15,194,179,15
Minnesota Wild,2011,35,36,11,-49,177,226,-49
Montreal Canadiens,2011,31,35,16,-14,212,226,-14
Nashville Predators,2011,48,26,8,27,237,210,27
New Jersey Devils,2011,48,28,6,19,228,209,19
New York Islanders,2011,34,37,11,-52,203,255,-52
New York Rangers,2011,51,24,7,39,226,187,39
Ottawa Senators,2011,41,31,10,9,249,240,9
Philadelphia Flyers,2011,47,26,9,32,264,232,32
Phoenix Coyotes,2011,42,27,13,12,216,204,12
Pittsburgh Penguins,2011,51,25,6,61,282,221,61
San Jose Sharks,2011,43,29,10,18,228,210,18
St. Louis Blues,2011,49,22,11,45,210,165,45
Tampa Bay Lightning,2011,38,36,8,-46,235,281,-46
Toronto Maple Leafs,2011,35,37,10,-33,231,264,-33
Vancouver Canucks,2011,51,22,9,51,249,198,51
Washington Capitals,2011,42,32,8,-8,222,230,-8
Winnipeg Jets,2011,37,35,10,-21,225,246,-21
